user_id,first_name,last_name,email,country,signup_date,role,industry,company_size,use_case,acquisition_channel,converted_to_paid
U00001,Ana,Ortiz,ana.ortiz0@onda785.tech,Guatemala,2026-07-26 13:22:44,Data Scientist,Telecommunications,1001-5000,Executive Reporting,Content,0
U00002,Valeria,Cruz,valeria.cruz1@cumbre899.tech,Ecuador,2026-07-18 20:13:50,Business Analyst,Professional Services,1-10,Sales Analytics,Referral,0
U00003,Andres,Rodriguez,andres.rodriguez2@onda180.app,Ecuador,2026-07-31 21:53:14,BI Analyst,Telecommunications,11-50,Business Intelligence,Organic Search,0
U00004,Rodrigo,Martinez,rodrigo.martinez3@cielo253.co,Chile,2026-07-25 13:41:18,Marketing Manager,Manufacturing,11-50,Sales Analytics,Organic Search,1
U00005,Gustavo,Jimenez,gustavo.jimenez4@bosque744.tech,Mexico,2026-07-25 18:22:12,Growth Manager,Logistics / Transportation,11-50,Sales Analytics,Content,0
U00006,Fernando,Garcia,fernando.garcia5@bosque725.app,Mexico,2026-07-09 19:43:55,Data Scientist,Real Estate,1-10,Marketing Analytics,Paid Search,0
U00007,Alejandro,Hernandez,alejandro.hernandez6@vertex698.biz,Colombia,2026-07-26 15:12:38,Growth Manager,Financial Services,1-10,Executive Reporting,Paid Social,1
U00008,Ivan,Reyes,ivan.reyes7@cielo269.app,Dominican Republic,2026-07-10 04:42:18,Marketing Director,Education,201-500,Business Intelligence,Referral,0
U00009,Alejandro,Martinez,alejandro.martinez8@atlas136.app,Venezuela,2026-07-21 15:36:02,Data Scientist,Telecommunications,1-10,Marketing Analytics,Referral,0
U00010,Daniela,Rojas,daniela.rojas9@vertex139.biz,Argentina,2026-07-16 13:27:14,Founder / CEO,Other,201-500,Business Intelligence,Organic Search,0
U00011,Carlos,Ramos,carlos.ramos10@polo345.biz,Chile,2026-07-17 15:17:43,Marketing Director,Financial Services,5001+,Data Exploration,Paid Search,0
U00012,Sofia,Ramos,sofia.ramos11@delta93.co,Brazil,2026-07-14 14:50:21,BI Analyst,Consumer Goods,11-50,Operations Analytics,Email,0
